user_id,used_notes,notes_type,session_time,pre_test_score,post_test_score,score_gain
1,1,advanced,21,51,77,26
2,1,beginner,49,62,69,7
3,1,beginner,69,52,60,8
4,1,beginner,28,63,70,7
5,0,intermediate,24,38,64,26
6,0,beginner,30,53,62,9
7,0,intermediate,68,37,68,31
8,1,intermediate,84,36,58,22
9,1,beginner,58,47,54,7
10,1,advanced,87,32,63,31
11,0,beginner,59,57,68,11
12,1,intermediate,70,35,57,22
13,1,beginner,71,50,59,9
14,0,beginner,35,57,64,7
15,0,intermediate,82,30,51,21
16,0,beginner,64,50,60,10
17,0,beginner,47,64,75,11
18,1,intermediate,21,42,66,24
19,1,intermediate,84,39,65,26
20,0,beginner,29,39,44,5
21,1,advanced,46,42,68,26
22,0,intermediate,89,53,83,30
23,0,intermediate,34,31,57,26
24,1,advanced,29,51,80,29
25,1,intermediate,62,46,71,25
26,1,intermediate,85,43,70,27
27,0,beginner,35,39,46,7
28,1,beginner,56,64,73,9
29,1,advanced,40,54,85,31
30,0,intermediate,28,32,58,26
31,1,advanced,71,46,72,26
32,0,beginner,51,41,48,7
33,0,intermediate,72,53,74,21
34,1,beginner,35,58,66,8
35,1,intermediate,83,54,83,29
36,1,beginner,17,55,64,9
37,0,beginner,51,30,41,11
38,0,beginner,63,49,56,7
39,1,advanced,33,57,86,29
40,1,beginner,26,45,51,6
41,0,intermediate,75,46,73,27
42,1,advanced,55,57,87,30
43,0,beginner,47,41,48,7
44,1,advanced,64,56,85,29
45,0,beginner,82,59,67,8
46,1,intermediate,85,63,93,30
47,0,beginner,47,35,46,11
48,1,beginner,38,36,43,7
49,1,advanced,75,61,88,27
50,0,intermediate,75,61,81,20
51,1,advanced,42,54,85,31
52,1,intermediate,72,62,84,22
53,1,beginner,57,36,45,9
54,1,beginner,55,41,52,11
55,1,intermediate,53,45,72,27
56,1,intermediate,63,45,70,25
57,0,intermediate,31,42,64,22
58,0,beginner,84,36,45,9
59,0,beginner,84,38,46,8
60,0,intermediate,79,61,84,23
61,1,beginner,88,40,48,8
62,0,beginner,19,37,47,10
63,1,beginner,16,62,67,5
64,1,intermediate,36,52,82,30
65,0,beginner,71,54,62,8
66,1,beginner,80,37,47,10
67,0,intermediate,88,51,79,28
68,1,intermediate,30,33,64,31
69,0,beginner,65,32,39,7
70,1,beginner,53,58,65,7
71,1,intermediate,54,58,78,20
72,0,beginner,52,63,69,6
73,0,intermediate,74,63,83,20
74,1,beginner,73,57,68,11
75,1,intermediate,24,42,70,28
76,1,beginner,78,44,50,6
77,1,beginner,77,52,63,11
78,0,beginner,63,55,62,7
79,1,beginner,78,33,42,9
80,0,intermediate,46,55,79,24
81,1,intermediate,21,38,61,23
82,1,intermediate,35,34,60,26
83,0,beginner,34,61,66,5
84,0,beginner,40,49,56,7
85,0,beginner,82,40,51,11
86,0,beginner,29,44,49,5
87,1,beginner,28,61,66,5
88,1,beginner,41,57,67,10
89,1,beginner,54,51,57,6
90,1,beginner,72,46,56,10
91,0,intermediate,42,55,84,29
92,1,beginner,40,36,41,5
93,1,intermediate,77,55,83,28
94,1,intermediate,80,54,82,28
95,1,advanced,39,39,67,28
96,1,beginner,17,48,59,11
97,1,beginner,86,40,48,8
98,1,beginner,58,42,52,10
99,0,beginner,56,37,47,10
100,0,intermediate,20,33,63,30
101,0,beginner,53,60,71,11
102,1,advanced,66,57,86,29
103,0,beginner,37,40,49,9
104,1,intermediate,64,30,55,25
105,1,intermediate,57,53,79,26
106,0,intermediate,33,60,86,26
107,1,intermediate,83,55,75,20
108,1,advanced,65,34,61,27
109,0,intermediate,25,49,80,31
110,0,intermediate,26,40,68,28
111,0,beginner,88,62,69,7
112,0,beginner,22,56,63,7
113,1,intermediate,38,63,88,25
114,1,advanced,55,44,76,32
115,1,intermediate,50,61,91,30
116,1,intermediate,86,50,70,20
117,1,intermediate,69,34,56,22
118,0,beginner,23,35,45,10
119,1,beginner,61,51,58,7
120,1,beginner,29,47,55,8
121,1,beginner,62,43,49,6
122,1,beginner,56,39,49,10
123,0,beginner,74,42,51,9
124,0,intermediate,84,60,88,28
125,0,intermediate,26,59,90,31
126,1,beginner,16,32,41,9
127,1,beginner,21,59,64,5
128,1,advanced,17,35,63,28
129,0,intermediate,17,58,89,31
130,1,intermediate,41,37,60,23
131,1,intermediate,54,62,88,26
132,0,beginner,47,46,52,6
133,0,beginner,15,40,47,7
134,0,intermediate,22,42,71,29
135,1,advanced,46,40,66,26
136,0,intermediate,62,60,90,30
137,1,beginner,18,57,65,8
138,1,intermediate,84,35,62,27
139,1,beginner,33,45,51,6
140,1,beginner,46,33,43,10
141,1,beginner,23,64,69,5
142,0,intermediate,26,55,86,31
143,1,advanced,25,41,66,25
144,0,beginner,60,40,51,11
145,0,intermediate,30,54,74,20
146,0,intermediate,15,47,67,20
147,1,beginner,77,48,55,7
148,1,beginner,35,52,63,11
149,0,beginner,44,47,56,9
150,0,beginner,27,55,62,7
151,1,advanced,48,35,67,32
152,0,intermediate,18,33,62,29
153,0,intermediate,42,58,81,23
154,1,intermediate,73,63,94,31
155,1,intermediate,41,46,71,25
156,0,intermediate,83,45,76,31
157,1,advanced,39,31,60,29
158,1,intermediate,17,63,89,26
159,0,beginner,82,37,45,8
160,1,intermediate,39,42,68,26
161,1,advanced,34,37,62,25
162,1,beginner,48,59,64,5
163,1,intermediate,40,61,85,24
164,1,intermediate,19,59,81,22
165,0,beginner,75,30,41,11
166,1,beginner,23,46,51,5
167,0,intermediate,64,49,71,22
168,0,beginner,20,53,64,11
169,0,beginner,74,51,60,9
170,1,beginner,58,58,68,10
171,1,advanced,25,51,76,25
172,0,beginner,80,38,46,8
173,1,advanced,61,39,69,30
174,0,intermediate,87,57,80,23
175,1,beginner,17,57,66,9
176,0,intermediate,44,50,75,25
177,1,intermediate,35,53,76,23
178,1,intermediate,42,31,52,21
179,1,beginner,76,37,42,5
180,0,intermediate,47,56,77,21
181,0,intermediate,49,51,75,24
182,0,intermediate,66,56,81,25
183,1,advanced,48,58,85,27
184,1,beginner,55,32,42,10
185,0,beginner,65,42,49,7
186,1,beginner,61,39,45,6
187,1,advanced,72,38,64,26
188,1,beginner,89,56,67,11
189,1,advanced,71,63,88,25
190,0,intermediate,37,30,55,25
191,0,beginner,62,61,67,6
192,1,beginner,36,54,61,7
193,1,beginner,31,58,66,8
194,1,intermediate,83,36,64,28
195,0,intermediate,25,32,58,26
196,0,intermediate,29,49,71,22
197,1,intermediate,49,49,71,22
198,1,beginner,47,59,70,11
199,1,intermediate,30,64,89,25
200,1,intermediate,48,64,87,23
201,1,beginner,80,56,63,7
202,0,beginner,54,55,64,9
203,0,beginner,42,43,53,10
204,1,intermediate,61,46,69,23
205,1,intermediate,53,47,68,21
206,0,beginner,84,58,69,11
207,0,intermediate,87,49,73,24
208,1,advanced,34,56,85,29
209,0,intermediate,15,47,73,26
210,0,intermediate,86,33,63,30
211,1,beginner,77,30,38,8
212,1,beginner,81,30,36,6
213,1,beginner,18,55,66,11
214,0,beginner,72,49,57,8
215,1,intermediate,39,52,83,31
216,0,beginner,61,39,47,8
217,0,intermediate,52,40,69,29
218,1,beginner,29,34,43,9
219,1,intermediate,77,30,59,29
220,1,advanced,35,46,71,25
221,1,beginner,71,51,57,6
222,1,intermediate,67,63,85,22
223,0,intermediate,60,58,87,29
224,1,beginner,28,33,44,11
225,0,beginner,31,34,40,6
226,0,beginner,53,40,50,10
227,1,beginner,23,50,61,11
228,1,advanced,20,64,89,25
229,1,intermediate,37,41,62,21
230,1,advanced,73,55,84,29
231,1,intermediate,60,48,71,23
232,1,intermediate,52,36,65,29
233,1,intermediate,28,36,57,21
234,1,intermediate,86,55,76,21
235,0,intermediate,76,34,65,31
236,1,beginner,49,50,60,10
237,0,intermediate,33,43,63,20
238,0,intermediate,44,33,59,26
239,1,beginner,39,52,62,10
240,0,beginner,54,49,55,6
241,1,advanced,28,44,70,26
242,1,beginner,40,58,65,7
243,1,intermediate,36,37,67,30
244,1,intermediate,62,48,74,26
245,0,intermediate,65,57,81,24
246,1,beginner,17,56,67,11
247,1,intermediate,56,33,59,26
248,1,advanced,33,44,76,32
249,1,advanced,87,64,92,28
250,1,intermediate,42,30,61,31
251,0,beginner,59,32,43,11
252,1,intermediate,85,53,73,20
253,1,advanced,77,56,87,31
254,0,beginner,87,63,74,11
255,0,intermediate,33,58,78,20
256,1,advanced,61,53,85,32
257,1,intermediate,28,53,77,24
258,1,intermediate,52,33,62,29
259,1,beginner,67,32,42,10
260,0,beginner,75,63,72,9
261,1,beginner,50,52,57,5
262,1,intermediate,54,52,79,27
263,0,beginner,44,34,41,7
264,1,intermediate,23,60,91,31
265,1,advanced,78,35,62,27
266,1,beginner,47,39,50,11
267,1,advanced,66,36,64,28
268,1,intermediate,28,50,77,27
269,1,advanced,89,49,80,31
270,0,intermediate,67,32,62,30
271,1,intermediate,73,51,81,30
272,1,intermediate,55,33,55,22
273,1,advanced,82,57,83,26
274,1,intermediate,82,41,63,22
275,1,beginner,22,34,39,5
276,1,intermediate,16,42,72,30
277,1,advanced,55,52,81,29
278,1,advanced,69,59,87,28
279,1,advanced,30,54,80,26
280,1,intermediate,76,56,76,20
281,1,advanced,62,43,69,26
282,0,intermediate,44,45,76,31
283,1,intermediate,26,51,76,25
284,0,beginner,49,50,58,8
285,1,beginner,25,50,58,8
286,0,intermediate,78,37,68,31
287,1,beginner,64,45,52,7
288,1,intermediate,35,60,89,29
289,0,beginner,83,39,50,11
290,1,intermediate,62,61,90,29
291,0,intermediate,34,63,90,27
292,0,intermediate,81,38,58,20
293,1,beginner,58,46,57,11
294,1,beginner,47,40,51,11
295,0,beginner,87,61,69,8
296,1,intermediate,75,39,68,29
297,1,intermediate,23,51,75,24
298,0,beginner,82,46,56,10
299,1,beginner,49,33,42,9
300,0,intermediate,79,54,82,28
301,0,intermediate,22,50,73,23
302,1,intermediate,59,30,51,21
303,1,beginner,61,54,63,9
304,1,beginner,54,46,56,10
305,1,beginner,68,53,60,7
306,1,beginner,60,31,40,9
307,1,intermediate,61,44,73,29
308,0,beginner,29,61,69,8
309,1,intermediate,33,35,56,21
310,0,beginner,40,30,40,10
311,1,advanced,66,52,78,26
312,0,intermediate,36,46,74,28
313,0,intermediate,35,63,94,31
314,1,beginner,65,58,66,8
315,1,beginner,52,38,49,11
316,1,beginner,34,42,47,5
317,1,intermediate,43,35,63,28
318,0,intermediate,65,35,56,21
319,0,beginner,18,49,59,10
320,0,beginner,69,32,43,11
321,1,beginner,85,46,56,10
322,1,advanced,42,41,70,29
323,1,beginner,18,30,39,9
324,0,beginner,36,46,56,10
325,1,intermediate,59,32,63,31
326,1,beginner,81,55,63,8
327,1,beginner,80,44,51,7
328,1,beginner,48,61,70,9
329,1,advanced,69,61,86,25
330,0,beginner,15,33,39,6
331,1,beginner,86,47,57,10
332,1,intermediate,52,48,69,21
333,0,beginner,20,64,74,10
334,0,beginner,39,43,54,11
335,0,beginner,31,62,72,10
336,0,intermediate,75,43,66,23
337,1,beginner,26,63,73,10
338,1,intermediate,20,33,60,27
339,1,beginner,41,53,60,7
340,0,beginner,22,58,64,6
341,1,intermediate,79,48,72,24
342,1,beginner,71,35,42,7
343,0,intermediate,54,62,89,27
344,1,beginner,28,48,53,5
345,1,advanced,49,30,60,30
346,1,intermediate,62,34,65,31
347,1,advanced,70,56,82,26
348,0,intermediate,63,45,72,27
349,1,beginner,27,35,44,9
350,1,intermediate,75,42,65,23
351,1,advanced,63,64,94,30
352,1,intermediate,60,48,73,25
353,1,advanced,76,41,73,32
354,0,intermediate,22,45,72,27
355,0,beginner,57,39,50,11
356,1,beginner,34,54,64,10
357,0,intermediate,53,49,72,23
358,1,intermediate,63,60,83,23
359,1,advanced,78,33,60,27
360,1,advanced,76,52,82,30
361,1,beginner,68,31,42,11
362,1,beginner,23,51,61,10
363,1,advanced,51,37,69,32
364,1,beginner,63,36,45,9
365,1,advanced,55,43,75,32
366,1,intermediate,31,32,55,23
367,1,intermediate,35,45,69,24
368,1,beginner,65,48,54,6
369,0,beginner,73,47,52,5
370,0,beginner,53,45,53,8
371,0,beginner,69,37,45,8
372,0,beginner,55,62,71,9
373,0,beginner,53,41,46,5
374,1,advanced,27,40,70,30
375,0,intermediate,78,34,60,26
376,0,beginner,25,56,61,5
377,1,beginner,33,41,46,5
378,0,beginner,25,46,57,11
379,1,intermediate,60,35,60,25
380,0,intermediate,59,62,93,31
381,0,beginner,15,34,40,6
382,1,beginner,54,57,63,6
383,1,intermediate,33,43,73,30
384,1,intermediate,86,34,57,23
385,1,advanced,86,62,93,31
386,1,beginner,75,48,58,10
387,0,intermediate,26,51,81,30
388,0,intermediate,75,34,64,30
389,1,intermediate,47,31,51,20
390,1,intermediate,59,59,83,24
391,1,intermediate,83,33,55,22
392,1,advanced,22,62,94,32
393,1,beginner,39,42,51,9
394,1,beginner,60,49,54,5
395,0,beginner,44,36,44,8
396,1,intermediate,61,44,70,26
397,1,beginner,63,52,61,9
398,1,beginner,61,43,54,11
399,1,beginner,32,52,58,6
400,1,advanced,80,48,79,31
401,0,beginner,82,58,64,6
402,1,beginner,47,49,60,11
403,1,beginner,50,58,63,5
404,1,beginner,33,53,63,10
405,0,intermediate,42,47,72,25
406,1,intermediate,54,39,60,21
407,1,beginner,29,37,43,6
408,0,beginner,55,55,64,9
409,1,beginner,53,58,68,10
410,0,beginner,16,39,49,10
411,0,beginner,77,46,52,6
412,1,intermediate,43,31,57,26
413,1,intermediate,88,35,55,20
414,1,beginner,80,34,43,9
415,1,beginner,65,57,67,10
416,1,intermediate,89,34,60,26
417,0,beginner,24,47,58,11
418,0,intermediate,28,55,81,26
419,1,intermediate,65,49,74,25
420,1,intermediate,87,56,83,27
421,1,intermediate,53,41,71,30
422,1,beginner,42,36,41,5
423,0,intermediate,17,32,61,29
424,1,advanced,84,39,67,28
425,0,beginner,41,63,71,8
426,1,intermediate,16,54,76,22
427,1,beginner,52,64,73,9
428,1,intermediate,17,45,74,29
429,1,beginner,30,31,39,8
430,0,intermediate,54,53,73,20
431,0,beginner,16,39,44,5
432,1,beginner,55,51,56,5
433,1,intermediate,26,55,78,23
434,0,intermediate,49,56,81,25
435,0,beginner,79,58,68,10
436,1,beginner,69,49,60,11
437,0,intermediate,59,56,76,20
438,1,beginner,76,49,57,8
439,1,advanced,63,48,80,32
440,0,beginner,39,49,56,7
441,0,beginner,37,64,70,6
442,1,advanced,38,31,63,32
443,1,intermediate,52,59,90,31
444,1,intermediate,42,63,94,31
445,1,beginner,35,51,56,5
446,1,advanced,68,32,63,31
447,1,beginner,32,35,45,10
448,1,advanced,50,44,73,29
449,1,advanced,59,56,81,25
450,0,beginner,87,39,46,7
451,1,beginner,67,38,48,10
452,1,beginner,44,62,70,8
453,1,beginner,74,61,66,5
454,1,beginner,46,35,42,7
455,0,beginner,81,31,37,6
456,1,advanced,81,58,85,27
457,0,intermediate,42,33,61,28
458,1,beginner,58,30,37,7
459,0,intermediate,55,48,79,31
460,0,beginner,77,55,62,7
461,0,beginner,37,54,65,11
462,1,intermediate,89,39,64,25
463,1,advanced,62,44,71,27
464,1,intermediate,46,51,73,22
465,1,advanced,71,50,77,27
466,1,advanced,47,51,83,32
467,0,intermediate,38,63,90,27
468,1,advanced,53,59,90,31
469,0,intermediate,48,54,83,29
470,1,advanced,70,57,88,31
471,0,beginner,42,30,36,6
472,1,advanced,51,33,60,27
473,0,intermediate,21,36,66,30
474,1,advanced,82,38,64,26
475,1,advanced,51,48,77,29
476,1,beginner,70,30,40,10
477,0,intermediate,79,39,66,27
478,1,intermediate,79,38,60,22
479,1,beginner,61,61,68,7
480,1,intermediate,34,61,83,22
481,1,beginner,33,35,42,7
482,1,advanced,43,46,73,27
483,1,intermediate,88,39,69,30
484,1,advanced,74,56,81,25
485,1,beginner,32,64,70,6
486,1,advanced,49,50,82,32
487,0,intermediate,57,54,84,30
488,0,beginner,25,57,68,11
489,1,intermediate,63,44,65,21
490,1,advanced,52,33,60,27
491,1,beginner,78,58,63,5
492,1,intermediate,83,38,63,25
493,0,intermediate,22,56,79,23
494,0,intermediate,48,55,80,25
495,1,beginner,62,48,56,8
496,1,beginner,70,57,63,6
497,1,beginner,79,46,56,10
498,0,intermediate,45,49,69,20
499,1,advanced,18,52,81,29
500,1,intermediate,64,61,88,27
501,1,advanced,83,62,93,31
502,1,intermediate,44,34,64,30
503,0,beginner,73,63,73,10
504,1,intermediate,81,40,65,25
505,1,intermediate,89,32,59,27
506,0,intermediate,59,62,88,26
507,1,intermediate,18,40,70,30
508,1,beginner,40,45,51,6
509,1,intermediate,41,47,70,23
510,1,intermediate,60,59,87,28
511,1,beginner,78,39,45,6
512,1,beginner,65,47,52,5
513,1,advanced,64,48,79,31
514,1,intermediate,20,42,73,31
515,0,beginner,73,32,43,11
516,0,intermediate,29,39,61,22
517,1,beginner,44,30,40,10
518,1,intermediate,56,56,80,24
519,1,advanced,51,37,65,28
520,0,intermediate,56,46,73,27
521,1,beginner,49,38,45,7
522,1,beginner,20,35,45,10
523,1,beginner,82,54,61,7
524,1,beginner,32,57,65,8
525,1,intermediate,87,62,90,28
526,1,beginner,43,38,44,6
527,1,intermediate,73,47,72,25
528,0,beginner,61,50,55,5
529,0,beginner,31,31,42,11
530,1,intermediate,36,44,64,20
531,1,beginner,82,57,63,6
532,1,intermediate,83,47,76,29
533,1,intermediate,51,63,93,30
534,1,intermediate,63,51,82,31
535,1,beginner,27,40,47,7
536,1,advanced,48,42,70,28
537,1,intermediate,67,33,59,26
538,0,intermediate,65,51,77,26
539,1,beginner,17,36,47,11
540,0,intermediate,56,53,84,31
541,1,advanced,46,33,63,30
542,1,intermediate,65,57,85,28
543,0,intermediate,60,44,73,29
544,1,beginner,35,30,41,11
545,1,intermediate,58,32,57,25
546,1,intermediate,25,43,65,22
547,0,beginner,82,30,36,6
548,1,beginner,15,50,60,10
549,1,advanced,77,58,88,30
550,1,beginner,38,34,40,6
551,1,intermediate,27,39,59,20
552,1,beginner,25,57,63,6
553,1,beginner,65,50,58,8
554,1,beginner,31,36,42,6
555,1,advanced,38,32,61,29
556,1,advanced,33,49,74,25
557,0,intermediate,51,48,73,25
558,0,beginner,22,64,71,7
559,1,beginner,42,33,39,6
560,1,intermediate,19,34,58,24
561,1,intermediate,31,30,55,25
562,0,beginner,50,33,44,11
563,0,beginner,33,41,48,7
564,0,intermediate,78,56,81,25
565,1,beginner,25,52,57,5
566,1,beginner,68,54,63,9
567,1,intermediate,59,50,79,29
568,1,intermediate,61,53,79,26
569,1,beginner,26,54,65,11
570,0,intermediate,35,61,81,20
571,1,intermediate,25,61,82,21
572,1,advanced,19,34,63,29
573,1,advanced,70,45,74,29
574,1,advanced,34,62,92,30
575,1,advanced,55,50,77,27
576,1,beginner,60,38,49,11
577,0,intermediate,26,35,61,26
578,1,intermediate,84,64,85,21
579,1,beginner,31,51,62,11
580,0,intermediate,33,34,64,30
